PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
144, 558150579, 0.50219005, 0.49126887, -0.37280315, 0.6061996
145, 558167246, 0.50217414, 0.4912707, -0.372888, 0.60615915
146, 558183913, 0.5020689, 0.49138948, -0.3729048, 0.60613966
147, 558200580, 0.50208986, 0.49139017, -0.37286562, 0.60614586
148, 558217247, 0.50208855, 0.49140218, -0.37281847, 0.60616636
149, 558233914, 0.50213945, 0.49135882, -0.3728402, 0.606146
150, 558250581, 0.5020629, 0.49140623, -0.37279108, 0.606201
151, 558267248, 0.50189275, 0.49155807, -0.3726646, 0.6062966
152, 558283915, 0.5018658, 0.49151862, -0.3725447, 0.60642445
153, 558300582, 0.5018003, 0.4915533, -0.3723653, 0.6065608
154, 558317249, 0.50171566, 0.49158505, -0.37221926, 0.60669476
155, 558333916, 0.5016693, 0.49155018, -0.3721507, 0.60680354
156, 558350583, 0.5016096, 0.4914963, -0.37195688, 0.6070152
157, 558367250, 0.50153273, 0.4914818, -0.3718965, 0.60712755
158, 558383917, 0.50139004, 0.49157318, -0.37184384, 0.60720354
159, 558400584, 0.501298, 0.4916086, -0.37170026, 0.60733867
160, 558417251, 0.50143754, 0.49138665, -0.37160188, 0.60746324
161, 558433918, 0.5014383, 0.49131042, -0.37136585, 0.6076687
162, 558450585, 0.50136036, 0.491316, -0.37120026, 0.60782963
163, 558467252, 0.5013397, 0.49124065, -0.3710842, 0.6079785
164, 558483919, 0.5013096, 0.49114686, -0.37095222, 0.6081596
165, 558500586, 0.5012204, 0.4911372, -0.37086394, 0.6082946
166, 558517253, 0.5010616, 0.4912094, -0.3707899, 0.60841244
167, 558533920, 0.50095177, 0.49118453, -0.37061605, 0.60862887
168, 558550587, 0.5009376, 0.49102634, -0.3704869, 0.6088467
169, 558567254, 0.5007521, 0.49107438, -0.37033036, 0.60905564
170, 558583921, 0.5006225, 0.4910591, -0.37018925, 0.6092603
171, 558600588, 0.50054526, 0.49101084, -0.37003818, 0.60945445
172, 558617255, 0.5005132, 0.49095416, -0.3699343, 0.6095894
173, 558633922, 0.5004657, 0.49094468, -0.36986607, 0.60967743
174, 558650589, 0.5005486, 0.49078482, -0.36978388, 0.60978806
175, 558667256, 0.5006785, 0.4905344, -0.36974224, 0.609908
176, 558683923, 0.50076354, 0.49037662, -0.36973113, 0.6099719
177, 558700590, 0.5007609, 0.49038416, -0.36981398, 0.60991764
178, 558717257, 0.50073475, 0.49042478, -0.36982238, 0.60990125
179, 558733924, 0.500787, 0.49036777, -0.36971164, 0.6099714
180, 558750591, 0.50084376, 0.49029392, -0.3696857, 0.6099999
181, 558767258, 0.5007973, 0.49034497, -0.36967206, 0.6100053
182, 558783925, 0.5007277, 0.49040672, -0.36964542, 0.61002904
183, 558800592, 0.50068784, 0.4904452, -0.3696932, 0.6100018
184, 558817259, 0.50084394, 0.49034548, -0.36961514, 0.61000115
185, 558833926, 0.50096256, 0.49025428, -0.36961758, 0.60997546
186, 558850593, 0.5007925, 0.49044392, -0.3697251, 0.6098976
187, 558867260, 0.500461, 0.49081174, -0.36964405, 0.609923
188, 558883927, 0.5006934, 0.49061438, -0.36943412, 0.6100184
189, 558900594, 0.50103194, 0.4903509, -0.36941975, 0.609961
190, 558917261, 0.5009164, 0.4905185, -0.3693789, 0.60994554
191, 558933928, 0.50081724, 0.49054715, -0.36953002, 0.6099124
192, 558950595, 0.50082296, 0.49052536, -0.3696019, 0.60988176
193, 558967262, 0.5008117, 0.49057183, -0.36960432, 0.60985214
194, 558983929, 0.50079864, 0.49061936, -0.3696556, 0.60979354
195, 559000596, 0.50071585, 0.49071804, -0.36958727, 0.6098235
196, 559017263, 0.50079876, 0.4906259, -0.3694413, 0.609918
197, 559033930, 0.50079376, 0.49064633, -0.36940163, 0.60992974
198, 559050597, 0.5007055, 0.49083444, -0.36942893, 0.6098343
199, 559067264, 0.50073504, 0.49089837, -0.36945578, 0.60974216
200, 559083931, 0.5009297, 0.49074897, -0.3695747, 0.6096307
201, 559100598, 0.50089425, 0.49083772, -0.3696792, 0.6095249
202, 559117265, 0.5008285, 0.49096966, -0.3696134, 0.6095126
203, 559133932, 0.50091285, 0.49089333, -0.3695714, 0.60953027
204, 559150599, 0.5008208, 0.49106112, -0.36959645, 0.6094556
205, 559167266, 0.5006722, 0.491245, -0.36964795, 0.60939825
206, 559183933, 0.50058043, 0.49127984, -0.3696676, 0.6094336
207, 559200600, 0.5005841, 0.4912471, -0.3696803, 0.60944927
208, 559217267, 0.5004735, 0.49134794, -0.36972556, 0.60943127
209, 559233934, 0.50029105, 0.4915106, -0.36969316, 0.6094696
210, 559250601, 0.5002558, 0.49148992, -0.36969176, 0.6095161
211, 559267268, 0.5002086, 0.49148753, -0.3696917, 0.60955685
212, 559283935, 0.5001001, 0.4915336, -0.3697931, 0.60954714
213, 559300602, 0.50007945, 0.4914713, -0.37000987, 0.6094828
214, 559317269, 0.500121, 0.49131668, -0.3701723, 0.60947484
215, 559333936, 0.5001745, 0.49115852, -0.37034515, 0.6094533
216, 559350603, 0.50010437, 0.4911157, -0.37056777, 0.60941005
217, 559367270, 0.50003886, 0.49106258, -0.37082896, 0.6093478
218, 559383937, 0.5000141, 0.4909397, -0.37101397, 0.6093544
219, 559400604, 0.49999005, 0.49082375, -0.37125757, 0.6093191
220, 559417271, 0.4999053, 0.49077457, -0.3714818, 0.6092917
221, 559433938, 0.49985892, 0.49068013, -0.37175828, 0.6092372
222, 559450605, 0.49987358, 0.4905349, -0.37196136, 0.60921806
223, 559467272, 0.49991393, 0.490401, -0.3721155, 0.6091987
224, 559483939, 0.49991187, 0.49032247, -0.37228602, 0.60915947
225, 559500606, 0.499899, 0.49024633, -0.3725101, 0.6090944
226, 559517273, 0.49977505, 0.4902701, -0.37274724, 0.60903186
227, 559533940, 0.49970505, 0.49028477, -0.3730124, 0.6089152
228, 559550607, 0.49971312, 0.49018988, -0.3732011, 0.60886925
229, 559567274, 0.499729, 0.49009946, -0.37333673, 0.6088458
230, 559583941, 0.4996447, 0.49015275, -0.37348807, 0.6087793
231, 559600608, 0.49953014, 0.49022654, -0.3736318, 0.6087257
232, 559617275, 0.4994142, 0.49025574, -0.37366545, 0.6087765
233, 559633942, 0.4993726, 0.4902432, -0.37375337, 0.608767
234, 559650609, 0.4995541, 0.49005622, -0.3737659, 0.6087609
235, 559667276, 0.49955052, 0.4900694, -0.37387335, 0.60868716
236, 559683943, 0.49940816, 0.49013466, -0.37402037, 0.60866106
237, 559700610, 0.49917847, 0.49034292, -0.37397778, 0.60870796
238, 559717277, 0.49938804, 0.490136, -0.37378564, 0.60882086
239, 559733944, 0.49958894, 0.49000776, -0.37382945, 0.6087323
240, 559750611, 0.49925914, 0.49037287, -0.3737672, 0.60874695
241, 559767278, 0.49906346, 0.49046645, -0.37376451, 0.6088338
242, 559783945, 0.49897918, 0.4904663, -0.37362567, 0.6089881
243, 559800612, 0.49886498, 0.49056292, -0.37339315, 0.6091465
244, 559817279, 0.4986998, 0.49073052, -0.3733097, 0.6091979
245, 559833946, 0.4986625, 0.4907483, -0.37332627, 0.6092038
246, 559850613, 0.49874723, 0.49061045, -0.37333938, 0.60923743
247, 559867280, 0.49871603, 0.4906819, -0.37333483, 0.60920817
248, 559883947, 0.49857146, 0.4908846, -0.37330592, 0.60918105
249, 559900614, 0.49852157, 0.49099705, -0.37331116, 0.6091281
250, 559917281, 0.4985853, 0.49099743, -0.3733103, 0.609076
251, 559933948, 0.49843815, 0.4912287, -0.37333286, 0.60899633
252, 559950615, 0.4982944, 0.4914308, -0.37325758, 0.60899705
253, 559967282, 0.49822095, 0.49149972, -0.37303582, 0.60913724
254, 559983949, 0.49819168, 0.49158862, -0.3727469, 0.6092662
255, 560000616, 0.4981068, 0.49172586, -0.37255374, 0.60934305
256, 560017283, 0.49801433, 0.49182442, -0.37247697, 0.6093861
257, 560033950, 0.4979865, 0.49184448, -0.3724541, 0.60940665
258, 560050617, 0.4980006, 0.49182862, -0.37241706, 0.60943055
259, 560067284, 0.4980691, 0.49183655, -0.37231454, 0.60943073
260, 560083951, 0.4980606, 0.49194095, -0.37218592, 0.609432
261, 560100618, 0.4979951, 0.49210435, -0.3721112, 0.60939926
262, 560117285, 0.49796954, 0.49221766, -0.37204728, 0.6093678
263, 560133952, 0.4980455, 0.49221373, -0.3719498, 0.60936826
264, 560150619, 0.49803558, 0.49230304, -0.37187093, 0.60935235
