1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,good_or_bad
-71.22245788574219,-81.43161010742188,-136.1018829345703,-70.123779296875,170.01434326171875,-77.191162109375,-124.9609375,-81.15187072753906,7.5872416496276855,-78.61578369140625,0
-71.32182312011719,-81.42765045166016,-136.1389617919922,-70.14115142822266,170.0303497314453,-77.14140319824219,-124.79769134521484,-81.13053894042969,7.623221397399902,-78.5867919921875,0
-71.42162322998047,-81.4282455444336,-136.1620635986328,-70.1633529663086,170.0662078857422,-77.09645080566406,-124.61267852783203,-81.1141357421875,7.667407512664795,-78.5662841796875,0
-71.67729187011719,-81.44277954101562,-136.20301818847656,-70.19448852539062,170.15231323242188,-77.01439666748047,-124.38703155517578,-81.0772705078125,7.685779571533203,-78.5610122680664,0
-71.7260513305664,-81.45458984375,-136.2367401123047,-70.20357513427734,170.20248413085938,-76.9756088256836,-124.28071594238281,-81.05763244628906,7.65927791595459,-78.5707778930664,0
-71.82915496826172,-81.46956634521484,-136.2543487548828,-70.21842193603516,170.2665557861328,-76.93680572509766,-124.1155776977539,-81.03421783447266,7.622226715087891,-78.58869171142578,0
-71.90518951416016,-81.48442840576172,-136.2989501953125,-70.22796630859375,170.3453369140625,-76.90021514892578,-124.01282501220703,-81.01065063476562,7.556584358215332,-78.61495208740234,0
-71.99166870117188,-81.49906158447266,-136.3311004638672,-70.2413330078125,170.39224243164062,-76.86541748046875,-123.90563201904297,-80.9908676147461,7.467344284057617,-78.63143157958984,0
-72.56481170654297,-81.54135131835938,-136.44137573242188,-70.27714538574219,170.6970672607422,-76.7241439819336,-123.60026550292969,-80.93321228027344,7.36028528213501,-78.6484146118164,0
-72.87911987304688,-81.55892181396484,-136.47903442382812,-70.28755187988281,170.89599609375,-76.67793273925781,-123.42745971679688,-80.92262268066406,7.277059555053711,-78.64964294433594,0
-73.20682525634766,-81.5528793334961,-136.5203399658203,-70.2987289428711,171.10194396972656,-76.6551284790039,-123.41688537597656,-80.91288757324219,7.1995649337768555,-78.6337890625,0
-72.58248138427734,-81.47386932373047,-136.73472595214844,-70.3696060180664,172.06179809570312,-76.6219482421875,-122.79501342773438,-80.84182739257812,7.188185214996338,-78.68463897705078,0
-72.09645080566406,-81.42755889892578,-136.76498413085938,-70.39540100097656,172.2849884033203,-76.64453887939453,-122.7693862915039,-80.82720184326172,7.054617881774902,-78.69970703125,0
-71.0455322265625,-81.37869262695312,-136.76113891601562,-70.43699645996094,172.42294311523438,-76.69749450683594,-122.58152770996094,-80.81194305419922,6.820409774780273,-78.71039581298828,0
-70.49805450439453,-81.35910034179688,-136.73989868164062,-70.48210144042969,172.41094970703125,-76.70082092285156,-122.34434509277344,-80.77506256103516,6.746988773345947,-78.69062805175781,0
-70.35201263427734,-81.35541534423828,-136.71849060058594,-70.50292205810547,172.37600708007812,-76.68852996826172,-122.29754638671875,-80.75936889648438,6.749584674835205,-78.68114471435547,0
-69.66693115234375,-81.35450744628906,-136.65362548828125,-70.5660400390625,172.13436889648438,-76.65591430664062,-122.06660461425781,-80.72220611572266,6.786019802093506,-78.66334533691406,0
-69.25096130371094,-81.34538269042969,-136.5620880126953,-70.60889434814453,171.86341857910156,-76.61880493164062,-121.81498718261719,-80.68415832519531,6.841870307922363,-78.68359375,0
-68.83152770996094,-81.3411636352539,-136.50787353515625,-70.64952087402344,171.59695434570312,-76.56396484375,-121.54023742675781,-80.64917755126953,6.870458126068115,-78.69559478759766,0
-68.67015838623047,-81.33876037597656,-136.48965454101562,-70.66999053955078,171.49916076660156,-76.53392028808594,-121.37818908691406,-80.6351089477539,6.916812896728516,-78.69373321533203,0
-68.6137924194336,-81.33123016357422,-136.48040771484375,-70.69154357910156,171.44032287597656,-76.51321411132812,-121.24727630615234,-80.62040710449219,6.966986656188965,-78.6981201171875,0
-68.14022827148438,-81.32630920410156,-136.4298553466797,-70.74797058105469,171.4073944091797,-76.47412109375,-121.009765625,-80.58721160888672,7.060261249542236,-78.65605163574219,0
-67.68000030517578,-81.30006408691406,-136.40884399414062,-70.78047943115234,171.43460083007812,-76.46917724609375,-120.85541534423828,-80.57362365722656,6.884623050689697,-78.66539001464844,0
-67.47471618652344,-81.2980728149414,-136.3896942138672,-70.78852081298828,171.4700164794922,-76.45732116699219,-120.82357788085938,-80.57170867919922,6.819249629974365,-78.6605453491211,0
-66.09819793701172,-81.24298858642578,-136.4447784423828,-70.79642486572266,171.8470458984375,-76.34911346435547,-120.88045501708984,-80.54969787597656,6.382455825805664,-78.67960357666016,0
-65.86088562011719,-81.22734832763672,-136.44366455078125,-70.79590606689453,171.77732849121094,-76.28719329833984,-120.9533920288086,-80.55783081054688,6.460137844085693,-78.65548706054688,0
-62.007537841796875,-81.33580780029297,-136.28408813476562,-70.81250762939453,171.11517333984375,-76.1746597290039,-121.77851867675781,-80.68360137939453,6.590771675109863,-78.73965454101562,0
-61.708641052246094,-81.30371856689453,-136.22732543945312,-70.84258270263672,170.9724578857422,-76.11422729492188,-122.0262222290039,-80.72335052490234,6.853438377380371,-78.74845886230469,0
-61.46937942504883,-81.33766174316406,-136.2119903564453,-70.85628509521484,170.96214294433594,-76.08096313476562,-122.10977935791016,-80.73655700683594,6.947295665740967,-78.74191284179688,0
-61.246463775634766,-81.40022277832031,-136.17721557617188,-70.87753295898438,170.9272918701172,-76.01519775390625,-122.21527099609375,-80.76690673828125,7.288100719451904,-78.74463653564453,0
-62.69934844970703,-81.1229019165039,-136.03302001953125,-70.98062133789062,171.24667358398438,-75.63423919677734,-122.39923095703125,-80.9485855102539,8.384065628051758,-78.76822662353516,0
-62.96479797363281,-81.1030044555664,-136.01145935058594,-70.99430847167969,171.27223205566406,-75.55329132080078,-122.36770629882812,-80.9754409790039,8.433493614196777,-78.78953552246094,0
-63.70977020263672,-81.0889663696289,-135.97608947753906,-71.01956176757812,171.37124633789062,-75.36946868896484,-122.35832214355469,-81.01046752929688,8.475510597229004,-78.80984497070312,0
-64.10197448730469,-81.09823608398438,-135.94952392578125,-71.03483581542969,171.39881896972656,-75.26353454589844,-122.35796356201172,-81.02044677734375,8.479141235351562,-78.83041381835938,0
-65.15980529785156,-81.24456024169922,-135.85787963867188,-71.06172943115234,171.61300659179688,-74.82323455810547,-122.2387924194336,-81.05091094970703,8.579748153686523,-78.92411804199219,0
-65.818115234375,-81.36214447021484,-135.81277465820312,-71.04472351074219,171.602783203125,-74.59014892578125,-122.212890625,-81.04544830322266,8.638289451599121,-79.02156829833984,0
-66.42448425292969,-81.42632293701172,-135.7714080810547,-71.05014038085938,171.43565368652344,-74.46415710449219,-122.09381103515625,-81.02506256103516,8.549783706665039,-79.07299041748047,0
-67.07492065429688,-81.4791259765625,-135.73631286621094,-71.05911254882812,171.48597717285156,-74.3288345336914,-121.93826293945312,-81.00774383544922,8.578714370727539,-79.07059478759766,0
-67.3878402709961,-81.50391387939453,-135.72048950195312,-71.06285858154297,171.481689453125,-74.2748794555664,-121.91084289550781,-80.99809265136719,8.594147682189941,-79.0756607055664,0
-69.52643585205078,-81.63993835449219,-135.66944885253906,-71.00730895996094,171.5973663330078,-74.01666259765625,-121.83361053466797,-80.9666976928711,8.240578651428223,-79.22801208496094,0
-70.15180969238281,-81.65564727783203,-135.65586853027344,-70.98319244384766,171.62261962890625,-73.9447250366211,-121.78645324707031,-80.96208190917969,8.21960735321045,-79.23512268066406,0
-70.27610778808594,-81.66466522216797,-135.65438842773438,-70.97462463378906,171.638427734375,-73.93675994873047,-121.79358673095703,-80.9613037109375,8.18691349029541,-79.22489929199219,0
