1_x_1,1_x_0,1_x_3,1_x_2,1_x_5,1_x_4
352.7259216,177.5285621,191.8874426,181.0014861,323.5366516,241.7720795
346.6418762,175.7359741,186.7857075,181.0683544,321.8638153,248.6672745
339.7744598,175.9178162,182.1173682,181.64643,324.7570801,248.4114227
334.1418457,180.151962,162.4109459,181.8594723,322.6622314,241.1442604
334.8540344,180.2643421,161.414856,182.0001729,321.8048401,240.8657951
339.852951,181.028235,163.2831593,181.7667453,321.7439117,241.5575027
345.94841,181.2992699,166.3125391,180.9857743,322.6916656,243.2511673
346.6553345,181.3191562,166.7869864,180.9640496,322.1050568,243.5775833
347.0280609,181.3509719,167.5915203,180.9824975,321.4512634,243.9005508
346.9942474,181.5768821,169.3951778,181.0620413,322.0873108,244.8395233
354.0370789,181.9880123,173.4611149,181.3870451,325.2625732,245.5946732
0.046295166,181.5707245,179.8497039,181.3070104,328.2374878,243.0039215
0.602386475,181.2103038,180.8644693,181.1776094,327.5735168,243.5964661
0.435333252,180.792804,181.3790686,181.2441204,326.4738617,245.0290375
-0.2318573,180.5062919,181.4360552,181.3846004,326.386322,246.5406723
346.0469666,178.9090448,187.0733442,182.6199546,323.5059509,252.3159409
338.9739838,178.5047747,192.5596914,182.7222795,322.2602386,247.329834
337.3342285,178.8649918,204.8576641,180.5032613,315.2350006,243.767128
338.5892487,179.5061374,205.6418076,180.6060643,312.3514862,241.4369545
343.6953125,179.7771038,196.2650394,180.9404409,300.5362854,237.9731407
347.8905182,180.8126903,191.5243473,180.3444965,304.2032852,238.2872963
348.6136017,181.0352852,183.5370221,180.0692472,317.2402191,242.2363129
350.0318756,181.0729902,183.0070901,180.2116832,319.5944824,242.7589798
353.3541718,180.5463011,174.6903474,178.3248205,324.7144623,249.7593918
355.6682739,180.1249954,169.38873,177.9484209,323.9308472,250.1452408
352.4450226,179.7378886,167.4099255,179.0085523,323.7863464,246.423233
344.2019806,177.1856873,176.8100533,179.6437361,314.3005219,238.8488045
343.0755157,179.2007838,180.9329803,180.8876438,313.4101715,238.4668198
342.3957977,179.4879025,182.8921528,181.7825081,316.5007324,236.4428711
343.1392975,179.4028193,184.3141336,182.0806775,319.0831451,235.067646
347.9678955,180.5452337,189.6593056,182.0132203,313.9118958,225.5225143
