1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,good_or_bad
162.4455414,63.04314423,80.74372101,-120.001564,-76.40349579,-114.2375031,-4.64330101,-69.71515656,119.885788,-166.7564697,69.10414886,43.17541885,130.5047607,68.51003265,-172.2863159,1
161.0333862,59.69893265,82.4803772,-120.1282196,-75.52649689,-111.1465607,-5.244758606,-69.50556183,122.0634613,-163.1423035,72.5456543,49.79818344,139.7345734,66.85176849,-159.3578796,1
155.2528839,62.30144119,80.77626801,-124.8469238,-73.47028351,-103.5924454,-7.166388035,-69.63471985,127.5460281,-146.2472992,73.75501251,70.25054169,144.173996,64.51712799,-154.3712006,1
155.1539307,62.6055336,88.53032684,-130.4409637,-73.91545868,-89.58036041,-2.905123711,-69.87751007,130.8103485,-115.5443192,75.51547241,112.3204422,147.1494751,63.11584473,-145.6531982,1
155.7865143,62.51516342,89.65553284,-131.3049469,-73.64633179,-88.31923676,-3.042152166,-69.49054718,131.5275269,-107.9639282,76.12284851,121.2147522,147.2552185,63.27135468,-144.9072571,1
157.004776,61.15071106,92.04753876,-129.6166687,-72.36547852,-88.01856995,-7.042376518,-68.71735382,137.5421143,-84.96646118,76.38237762,146.7008362,146.0945435,65.29173279,-144.1013489,1
158.9615021,60.52555084,93.50834656,-131.5275726,-71.78201294,-85.80878448,-8.557541847,-69.09521484,139.3972168,-90.51224518,78.47035217,136.3332672,144.7671661,66.86265564,-144.7240906,1
159.132782,61.5844841,93.40071106,-133.6882019,-70.96411896,-83.85539246,-9.898360252,-69.2276001,140.7181549,-99.61244202,79.40595245,125.7666931,143.8757629,68.26946259,-146.1098175,1
167.8179474,62.36360168,96.18771362,-123.4867859,-77.90105438,-99.67315674,-2.731045723,-66.99154663,130.1563568,-168.9416809,67.72383118,55.73671722,92.64457703,73.57655334,155.0144806,1
164.0157166,61.05489731,92.40351105,-120.5297394,-77.9291153,-102.8824844,-1.268510222,-68.60752106,129.3022308,-169.4924774,65.38988495,57.44601822,127.7875671,67.20960236,-163.402832,1
162.3074799,60.75461578,92.73348236,-124.6851349,-75.74603271,-97.26524353,-3.763647795,-68.75107574,130.2775421,-166.5752106,68.29776764,59.33046722,146.4195251,66.25592041,-148.674942,1
161.3872986,61.35990524,92.48797607,-125.8539429,-75.57524872,-95.83548737,-3.657423019,-68.76070404,130.086441,-165.9954224,68.46697235,59.68722153,146.8472595,66.19511414,-148.3352966,1
148.5085602,66.65946198,80.00603485,-99.10871124,-76.91056824,-123.0072174,-6.341440678,-66.77839661,130.8003082,-136.7045898,73.253685,90.69042969,148.7115784,64.02358246,-146.7658081,1
147.8796997,66.76488495,80.66824341,-91.49608612,-76.94130707,-127.9048004,-4.415300846,-65.11785126,131.312912,-109.4796371,77.73021698,120.6077957,149.9477539,64.88735962,-142.927887,1
143.156601,70.22283173,76.31087494,-87.82653809,-76.95856476,-130.7585754,-6.186956406,-64.78253174,132.3835602,-123.1971359,80.09247589,104.7713623,149.6927032,68.26076508,-143.3657074,1
148.9898376,72.960495,80.68442535,-97.88517761,-78.70833588,-123.0941925,-5.992087841,-66.11219788,133.2134247,-167.242218,69.7586441,57.83597183,122.2619705,75.77713013,-173.6959686,1
154.1689301,68.29693604,75.91941833,-97.93634796,-78.0424118,-131.8161316,-7.698908329,-66.6823349,128.6510773,-171.964798,63.23091507,47.8718338,116.0727692,70.56999969,168.5988922,1
160.11763,68.15422058,77.43260956,-97.32657623,-79.27030182,-136.6979675,-8.022233009,-64.88417816,123.5011749,-170.9442139,64.44850159,45.24360275,103.1761169,75.98167419,154.1891479,1
160.3275452,69.39688873,77.46024323,-100.2782059,-79.95756531,-133.8730011,-6.158201694,-65.49819946,120.8795547,-169.1390839,66.47595978,46.16689682,101.7039948,78.25050354,156.1482544,1
161.3431396,67.61495209,78.66819,-103.3927231,-80.04807281,-131.0252686,-4.504686832,-66.09225464,119.2851868,-168.0231781,67.68077087,47.29813004,107.5373535,78.51561737,164.3428802,1
154.9162445,69.06487274,73.65096283,-101.8991547,-79.2336731,-131.4490204,-2.36833477,-66.95481873,117.6816177,-162.3177795,72.53309631,53.909935,126.4369507,76.01647949,-178.2257996,1
138.0604248,72.99739838,60.44582748,-102.9120026,-78.16313171,-126.2906113,-1.83730793,-66.86733246,118.258522,-146.2214661,72.48470306,67.81782532,147.6544952,64.04169464,-156.4046936,1
143.8584442,72.76292419,66.8273468,-97.73531342,-77.92527771,-131.8521271,-5.447986603,-67.08972931,123.845932,-163.3470917,65.88606262,53.22682571,141.9318542,65.85974121,-159.9650574,1
